address,length,value
"10048500",32,"u""swedish-finland"""
"10048520",12,"u""swiss"""
"10048544",16,"u""america"""
"10048554",16,"u""britain"""
"10048564",12,"u""china"""
"1004857c",16,"u""england"""
"1004858c",28,"u""great britain"""
"100485a8",16,"u""holland"""
"100485b8",20,"u""hong-kong"""
"100485cc",24,"u""new-zealand"""
"100485ec",20,"u""pr china"""
"10048600",20,"u""pr-china"""
"10048614",24,"u""puerto-rico"""
"1004863c",28,"u""south africa"""
"10048658",24,"u""south korea"""
"10048670",28,"u""south-africa"""
"1004868c",24,"u""south-korea"""
"100486a4",36,"u""trinidad & tobago"""
"100486c8",32,"u""united-kingdom"""
"100486e8",28,"u""united-states"""
"10048704",10,"u""utf8"""
"10048718",12,"u""utf-8"""
"100490ac",12,"u""de-DE"""
"100491cc",12,"u""sl-SI"""
"10049298",12,"u""hi-IN"""
"10049310",12,"u""bn-IN"""
"1004931c",12,"u""pa-IN"""
"10049334",12,"u""ta-IN"""
"10049340",12,"u""te-IN"""
"1004934c",12,"u""kn-IN"""
"10049370",12,"u""sa-IN"""
"10049404",12,"u""de-CH"""
"10049464",24,"u""sr-SP-Latn"""
"100494a0",12,"u""se-SE"""
"100494f8",12,"u""de-AT"""
"10049528",24,"u""sr-SP-Cyrl"""
"10049598",12,"u""fr-CH"""
"100495d8",12,"u""de-LI"""
"10049608",24,"u""bs-BA-Latn"""
"10049660",24,"u""sr-BA-Latn"""
"1004a094",12,"u""bn-in"""
"1004a0a0",24,"u""bs-ba-latn"""
"1004a0e8",12,"u""de-at"""
"1004a0f4",12,"u""de-ch"""
"1004a100",12,"u""de-de"""
"1004a10c",12,"u""de-li"""
"1004a1ac",12,"u""en-tt"""
"1004a314",12,"u""fr-ch"""
"1004a368",12,"u""hi-in"""
"1004a3a4",12,"u""id-id"""
"1004a3f8",12,"u""kn-in"""
"1004a4e0",12,"u""pa-in"""
"1004a558",12,"u""sa-in"""
"1004a57c",12,"u""se-se"""
"1004a594",12,"u""sl-si"""
"1004a624",24,"u""sr-ba-latn"""
"1004a63c",24,"u""sr-sp-cyrl"""
"1004a654",24,"u""sr-sp-latn"""
"1004a6a0",12,"u""ta-in"""
"1004a6ac",12,"u""te-in"""
"1004a7b0",6,"""1#INF"""
"1004a7b8",7,"""1#QNAN"""
"1004a7c0",7,"""1#SNAN"""
"1004a880",16,"u""CONOUT$"""
"1004a890",6,"""log10"""
"1004d230",8,""".rdata"""
"1004d268",16,""".rdata$sxdata"""
"1004d280",16,""".rdata$voltmd"""
"1004d348",8,""".edata"""
"1004d3a8",8,""".data"""
"100502bc",11,"""ssmptw.asi"""
"100502c7",33,"""?BaseModelsAddress@SSmpCore@@2KA"""
"100502e8",49,"""?ModelPointers@SSmpCore@@2PAPAVCBaseModelInfo@@A"""
"10050572",14,"""MH_CreateHook"""
"10050582",14,"""MH_EnableHook"""
"10050592",14,"""MH_Initialize"""
"100505a0",16,"""MinHook.x86.dll"""
"100505b2",15,"""VirtualProtect"""
"100505c4",6,"""Sleep"""
"100505cc",13,"""GetTickCount"""
"100505dc",17,"""GetModuleHandleA"""
"100505f0",18,"""GetCurrentProcess"""
"10050604",24,"""K32GetProcessMemoryInfo"""
"1005061e",12,"""CreateFileA"""
"1005062c",15,"""SetFilePointer"""
"1005063e",10,"""WriteFile"""
"1005064a",13,"""GetTempPathA"""
"1005065a",17,"""GetTempFileNameA"""
"1005066e",13,"""LoadResource"""
"1005067e",13,"""LockResource"""
"1005068e",15,"""SizeofResource"""
"100506a0",13,"""LoadLibraryA"""
"100506b0",14,"""FindResourceA"""
"100506c0",19,"""GetModuleHandleExA"""
