address,length,value
"0085c338",20,"""ug_bonnet_left_dam"""
"0085c34c",16,"""ug_bonnet_dam"""
"0085c35c",16,"""ug_bonnet_right"""
"0085c36c",16,"""ug_bonnet_left"""
"0085c37c",12,"""ug_bonnet"""
"0085c3b1",6,"""xtra1"""
"0085c3b8",12,"""miscpos_b"""
"0085c3c4",12,"""miscpos_a"""
"0085c3d0",12,"""miscpos_d"""
"0085c3dc",12,"""miscpos_c"""
"0085c3e8",8,"""ped_arm"""
"0085c3f0",8,"""hookup"""
"0085c3f8",12,"""petrolcap"""
"0085c404",8,"""engine"""
"0085c40c",8,"""exhaust"""
"0085c414",12,"""taillights2"""
"0085c420",12,"""headlights2"""
"0085c42c",12,"""taillights"""
"0085c438",12,"""headlights"""
"0085c444",16,"""ped_backseat"""
"0085c454",16,"""ped_frontseat"""
"0085c48c",12,"""exhaust_ok"""
"0085c498",20,"""windscreen_dummy"""
"0085c4ac",12,"""boot_dummy"""
"0085c4b8",16,"""bonnet_dummy"""
"0085c4c8",16,"""wing_lf_dummy"""
"0085c4d8",16,"""wing_rf_dummy"""
"0085c4e8",16,"""bump_rear_dummy"""
"0085c4f8",20,"""bump_front_dummy"""
"0085c50c",16,"""door_lr_dummy"""
"0085c51c",14,"""door_lf_dummy"""
"0085c52c",16,"""door_rr_dummy"""
"0085c53c",16,"""door_rf_dummy"""
"0085c54c",16,"""wheel_lb_dummy"""
"0085c55c",16,"""wheel_lm_dummy"""
"0085c56c",16,"""wheel_lf_dummy"""
"0085c57c",16,"""wheel_rb_dummy"""
"0085c58c",16,"""wheel_rm_dummy"""
"0085c59c",16,"""wheel_rf_dummy"""
"0085c5ac",8,"""chassis"""
"0085c5be",10,"""HBremap"""
"0085c618",11,"""windscreen"""
"0085c62c",8,"""boat_hi"""
"0085c634",12,"""rearrotor"""
"0085c640",6,"""white"""
"0085c648",9,"""particle"""
"0085c658",8,"""DEFAULT"""
"0085c718",13,"""ANIM\\PED.IFP"""
"0085c728",14,"""NEVADA_getout"""
"0085c738",13,"""NEVADA_getin"""
"0085c748",18,"""SHAMAL_getout_LHS"""
"0085c75c",17,"""SHAMAL_getin_LHS"""
"0085c770",12,"""SHAMAL_open"""
"0085c77c",13,"""SHAMAL_align"""
"0085c78c",14,"""BF_getout_RHS"""
"0085c79c",14,"""BF_getout_LHS"""
"0085c7ac",13,"""BF_getin_RHS"""
"0085c7bc",13,"""BF_getin_LHS"""
"0085c7cc",16,"""TANK_doorlocked"""
"0085c7dc",16,"""TANK_getout_LHS"""
"0085c7ec",15,"""TANK_close_LHS"""
"0085c7fc",15,"""TANK_getin_LHS"""
"0085c80c",14,"""TANK_open_LHS"""
"0085c81c",15,"""TANK_align_LHS"""
"0085c82c",18,"""vortex_getout_RHS"""
"0085c840",18,"""vortex_getout_LHS"""
"0085c854",15,"""CAR_jumpin_RHS"""
"0085c864",15,"""CAR_jumpin_LHS"""
"0085c874",16,"""KART_getout_RHS"""
"0085c884",16,"""KART_getout_LHS"""
"0085c894",15,"""KART_getin_RHS"""
"0085c8a4",15,"""KART_getin_LHS"""
"0085c8b4",17,"""DOZER_Jacked_RHS"""
"0085c8c8",17,"""DOZER_Jacked_LHS"""
"0085c8dc",17,"""DOZER_getout_RHS"""
"0085c8f0",17,"""DOZER_getout_LHS"""
"0085c904",18,"""DOZER_pullout_RHS"""
"0085c918",18,"""DOZER_pullout_LHS"""
